,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
28212,-0.19275903063072314,1.8947716132394963,0.18662519515676831,-0.5246760531810657,-1.3839143338566637,-0.21633647120266852,0.9534587177718893,-0.6777449031211723,0.6070541530830411,0.1558945755625567,-0.9228683347360153,1,0,0,0,0,0,0,0
17,0.12505993534542617,0.5941810185503618,0.4210263255721328,-0.8078431341963987,-0.8907989740120865,-0.3106334159384577,-0.7888202425039285,-0.3016197283945918,0.5578952337574484,-0.006806660272271004,1.2061526052343166,0,0,0,0,0,1,0,0
32310,0.3025881336700395,0.12812203442501868,0.7176902562540782,-0.6605962520684254,-1.3839143338566637,5.630074102416262,1.9037926961041536,5.3889787700593725,3.6549071512697844,-0.09629233998144243,1.2061526052343166,0,0,0,0,0,1,0,0
29282,-0.2562800522504495,-0.44898349465437754,-0.6618580633780142,0.8345259356925333,1.0816624653662223,-0.7703310215254301,-0.2455459848906508,-0.2918755528835405,-0.06273612272815861,0.20470494631300964,-0.9228683347360153,0,0,0,0,0,1,0,0
5954,-0.21542207965095828,-0.7737105124745626,-0.2650853165811736,2.465568322340852,0.5885471055216451,-0.6524598406056935,-0.19486150604626334,-0.6777449031211723,-1.1933912672167892,-0.42169481165109785,0.1416421352491507,0,0,0,0,0,1,0,0
14732,-0.13830636781729297,0.02885315332972893,0.23179624633056217,1.2875932653170663,-1.3839143338566637,0.19621266201640916,0.7950697213831786,-0.009294463063052486,0.7238065864813236,0.5789177887331179,0.1416421352491507,1,0,0,0,0,0,0,0
18618,-0.26077172167794427,-0.5819028439175621,-0.7644085579347357,-0.9777433828055987,-0.3976836141675093,1.2099048179261431,1.7454036997154427,-0.6777449031211723,0.9941806427720832,1.0344812490706632,-0.9228683347360153,1,0,0,0,0,0,0,0
27141,1.0982349219807708,0.553800456748888,0.5589811575353415,1.1516730664297066,0.5885471055216451,-0.5935242501458252,-0.47204224972650705,-0.45362886636699223,0.140044419489911,0.21284000810474407,0.1416421352491507,0,0,0,0,0,1,0,0
31695,0.36412949842357095,0.09110651944033427,0.7176902562540782,0.6986057368051736,1.0816624653662223,3.3315860744813994,2.537348681658996,6.708340134255719,2.4566584927084643,-0.09629233998144243,1.2061526052343166,0,0,0,0,0,1,0,0
27065,-0.24945491215939897,3.8162133456262906,0.5235768201288543,-0.29814238836879914,-0.3976836141675093,-0.4167174787662206,-0.31365325333779637,-0.6777449031211723,0.4411428003591659,0.9043202604028197,-0.9228683347360153,1,0,0,0,0,0,0,0
